"name","publishedAtDate","stars","state","text","title"
"Vinayak G","2025-08-14T06:12:46.519Z","5","Selangor","the hotel is big, rooms are spacious, location is good, two malls are at a walking distance.
just that the breakfast wasn't too good. food in room service was average. they need to improve on this.","Royale Chulan Damansara"
"Trip.com Member","2025-08-13T23:59:59.999Z",,"Selangor","It's regular hotel for our stay in KL.Room is very specious. Location is great Hotel located just next to MRT station. Next to hotel and opposite there are two shopping malls.","Royale Chulan Damansara"
"Trip.com Member","2025-08-13T23:59:59.999Z",,"Selangor","Always a pleasant stay at Royal Chulan Damansara. The rooms are spacious and cozy. Bed and pillows are comfy.","Royale Chulan Damansara"
"Trip.com Member","2025-08-13T23:59:59.999Z",,"Selangor","干净又卫生","Royale Chulan Damansara"
"Trip.com Member","2025-08-12T23:59:59.999Z",,"Selangor","The whole experience from checking to checkout was expect. The facilities were well kept despite being an older building. The rooms were very comfortable and spacious. The food was delicious and the customer service were fully on point to our requests. We highly recommend a stay in this hotel.","Royale Chulan Damansara"
"michelle lim","2025-08-12T16:09:49.568Z","3","Selangor","Attended event.  Overall ok","Royale Chulan Damansara"
"Getaway01195300097","2025-08-11T23:59:59.999Z",,"Selangor","Love this hotel with great breakfast. Shower gel & shampoo smells good. Bed is comfortable too… luxury shower interior design","Royale Chulan Damansara"
"Trip.com Member","2025-08-11T23:59:59.999Z",,"Selangor","The room lighting is dim because the light bulb is not working. The food served is of poor quality, and when this was mentioned to them, they did not take it seriously.","Royale Chulan Damansara"
"Climber55430895311","2025-08-10T23:59:59.999Z",,"Selangor","Comfortable room. Kids get to rest and sleep well in this room. Breakfast provided has various choices to choose from. Will come again. Price is affordable too.","Royale Chulan Damansara"
"nurliay2025","2025-08-10T23:59:59.999Z",,"Selangor","the receptionist is very nice and friendly . i would like to come with my family again for another trip . cant wait to stay here again ….","Royale Chulan Damansara"
"PJ Prajnawi (黃健霖)","2025-08-10T09:34:56.319Z","5","Selangor","good experience! good service, thanks to the staff help and friendly service","Royale Chulan Damansara"
"GrandTour56536150434","2025-08-09T23:59:59.999Z",,"Selangor","Love it! The room is comfortable, the staff is very nice and friendly. Just sad that I didn't get to try the Royale Spa 😩 Very short distance walking to all the malls around make it easy for us to travel and shop here and there.","Royale Chulan Damansara"
"Sightsee66885933189","2025-08-09T23:59:59.999Z",,"Selangor","Have a wonderful night and experience here. The service is very good. We had a wonderful stay and we enjoy it alot. Keep it on","Royale Chulan Damansara"
"Trip.com Member","2025-08-09T23:59:59.999Z",,"Selangor","Terbaikk !","Royale Chulan Damansara"
"Trip.com Member","2025-08-09T23:59:59.999Z",,"Selangor","좋아요 만족하는 호텔입니다. 가성비가 좋아요.조식도 가지수가 많고, 말레이시아답게 다양성이 좋네요.침구류도 푹신하고 꽤만족합니다.다만 5성급은 맞는거 같은데 낡은부분들이 분명히 있습니다.하지만 방도크고, 깨끗해서 좋습니다.","Royale Chulan Damansara"
"Trip.com Member","2025-08-08T23:59:59.999Z",,"Selangor","Wonderful location and nice breakfast!But it was so noisy, it came from the hotel lounge and it lasted until 1am ! I stay at level 5, and can't sleep well for the whole night with a too soft mattress.","Royale Chulan Damansara"
"Trip.com Member","2025-08-08T23:59:59.999Z",,"Selangor","Very nice hotel, the location are near to shopping and foods centre. The breakfast is very good.","Royale Chulan Damansara"
"Trip.com Member","2025-08-08T23:59:59.999Z",,"Selangor","Good hotel for families. Lots to see and do. Kids enjoyed the swimming pool","Royale Chulan Damansara"
"Mr & Mrs Budi","2025-11-22T01:06:04.167Z","4","Negeri Sembilan","Kami singgah utk sarapan pagi. Makanan more to citarasa lokal.","Royale Chulan Seremban"
"Mohd Faridzul Asyraf Mat Arifin","2025-11-21T11:46:25.684Z","5","Negeri Sembilan","Parking murah","Royale Chulan Seremban"
"Trip.com Member","2025-11-20T23:59:59.999Z",,"Negeri Sembilan","房間很大，酒店亦甚有氣派。員工非常有禮，能以英文溝通。酒店設施齊備，停車場車位非常充足，有泳池及健身室。自助早餐選擇非常多，味道亦很好。","Royale Chulan Seremban"
"Nuh Pata","2025-11-20T14:01:01.243Z","5","Negeri Sembilan","Stayed here for one night and the room was super spacious, with a really big bathroom. The room is a bit old, but still unbelievable for the price.

You can ask for drinking water anytime, which is nice. Staff were really friendly too.

The swimming pool was my favourite part, great vibes and surrounded by nature. The room definitely matches the Royal Chulan name, really comfy and classy.

I’ll definitely come back again in the future.
No comment on breakfast since my booking didn’t include it.","Royale Chulan Seremban"
"Lyn Comel","2025-11-20T12:07:45.497Z","5","Negeri Sembilan","Good environment friendly staff very helpful and comfortable place food so tasty and delicious I recommend it and love to stay here","Royale Chulan Seremban"
"Maria Simanungkalit","2025-11-20T01:13:42.542Z","5","Negeri Sembilan","Come back here again... Always love the breakfast here ..but I do love the improvement that you made.... Like the Christmas deco ...like it so much..
Stephanie is one of the best that always greet me with smile😍thank you....
Like the chakoi though...","Royale Chulan Seremban"
"Trip.com Member","2025-11-19T23:59:59.999Z",,"Negeri Sembilan","Room was good with Nice view...Breakfast was delicious...Staff very polite...Hotel also fullfil all my request...","Royale Chulan Seremban"
"atieqah azman","2025-11-19T09:28:29.280Z","5","Negeri Sembilan",,"Royale Chulan Seremban"
"Zanudin Mohd. Daud","2025-11-18T15:30:34.461Z","5","Negeri Sembilan","Hotel terbaik di Seremban","Royale Chulan Seremban"
"ayep dzainal","2025-11-18T09:32:27.328Z","5","Negeri Sembilan","Best berbuka

Now dtg training, mcm biasa, perform","Royale Chulan Seremban"
"Trip.com Member","2025-11-17T23:59:59.999Z",,"Negeri Sembilan","Have a great day here with my family. Breakfast - 👍Accomodation - 👍Swimming pool - 👍","Royale Chulan Seremban"
"Kee Ting","2025-11-16T23:27:01.797Z","5","Negeri Sembilan",,"Royale Chulan Seremban"
"Mohd","2025-11-15T08:52:46.663Z","5","Negeri Sembilan","Trbaikkk","Royale Chulan Seremban"
"Shaifuddin Kamaruddin","2025-11-14T23:28:47.534Z","4","Negeri Sembilan",,"Royale Chulan Seremban"
"Sheilyza Ishak","2025-11-14T13:13:58.289Z","5","Negeri Sembilan",,"Royale Chulan Seremban"
"Trip.com Member","2025-11-13T23:59:59.999Z",,"Negeri Sembilan","Very near to the city and the beautiful lake","Royale Chulan Seremban"
"Trip.com Member","2025-11-13T23:59:59.999Z",,"Negeri Sembilan","Best hotel in town !!!!","Royale Chulan Seremban"
"Trip.com Member","2025-11-13T23:59:59.999Z",,"Negeri Sembilan","Very comfortable bed and pillow, aircon freezing cold, high quality toiletries, 2 big tables for work.Room service team notice both water bottles are consumed, they put 4 bottles for me, an initiative that much appreciated, they saw me using disposable slipper, gave 2 thicker and high quality disposable slippers, but not every room service team will do this consistently.the cloth hanger cord is broken, TV a bit too small to watch on bed.","Royale Chulan Seremban"
"AHMAD SHAHIR SHAPIE","2025-11-12T03:58:49.163Z","5","Negeri Sembilan",,"Royale Chulan Seremban"
"Trip.com Member","2025-11-11T23:59:59.999Z",,"Negeri Sembilan","Excellent","Royale Chulan Seremban"
"wingster1","2025-09-11T23:59:59.999Z",,"Federal Territory of Kuala Lumpur","Forgot to check the reviews when i booked this for a business trip.  The hotel is a bit dated as the reviews state and a make over is needed to be called a 5 star hotel.  Based on the 4 star i stayed in Singapore before, this would be closer to a 3.5 star hotel.|| Not all is bad. I had a massive room on the 6th floor which was nice.  Hot water fine, clean, no smells.  The only part of the room that was not 5 star was the wear and tear on furniture, small amounts of mold in the show grout and the air conditioning unit that was old and a bit noisy.  Safe was there, ironing board and water bottles always topped up.  Not sure why house keeping trying to do room before 9am?||The rest of the hotel was fine. Decor dated but clean. Pool looked fine and small gym. Breakfast was fine.  The was a mix of offering from continental to indian, Chinese and local.  Good chance to experience other foods from around asia for those embracing the experience.||Location was excellent as only a short walk to the main shopping area.  There are building works right next to the hotel now and while my room was the opposite side, if located near the building site area i can understand the issues.  This building impacts on other hotels there too. There are two ugly tall  buildings incomplete from covid the other side, next to the Pullman and Banyan hotel. One assumes you are out and about seeing things so it should not affect a tourist stay.||There must be some cheaper rooms as many of the guests staying are not what you would expect at a 5 or 4 star hotel.||THEY DO NOT SERVE ALCOHOL IN THE HOTEL.  Not sure how you can be 5 star and remove the option from customers?   This is their choice and reflects the main customers they have and I had no issue.  Respect the culture of the country you are in.  Plenty of bars around outside so not an issue unless an alcoholic.||Staff very friendly as expected.  I had a good stay and enjoyed it especially as so cheap.  This is the thing to consider, other 5 star hotels will be 2 to 3 times more expensive.  For the price, this hotel worked well. £70 per night plus tax in 2025!  Manage your expectations when that cheap.  Needs modernisation to get 5 star.","Royale Chulan Kuala Lumpur"
"Ajay Nanda","2025-09-09T17:04:08.095Z","5","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"Trip.com Member","2025-09-08T23:59:59.999Z",,"Federal Territory of Kuala Lumpur","Overall satisfied. Weekend busy time plan early for the breakfast buffet, otherwise some foods will finish around 9.30am.","Royale Chulan Kuala Lumpur"
"Thein Min","2025-09-08T10:39:54.332Z","5","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"Kourosh Mohammadpour","2025-09-08T09:19:34.678Z","5","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"Jhaye Lynn","2025-09-08T06:01:02.138Z","4","Federal Territory of Kuala Lumpur","Its nice hotel .. old as u can tell from the smell specially in the hallways ..navigation in the hotel is quite confusing ... also whats WEIRD ?? Their staff has to video tape everything they do .. like literrally everything ...!!!","Royale Chulan Kuala Lumpur"
"Azhar Salleh","2025-09-08T01:18:50.095Z","5","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"조민우","2025-09-07T13:21:49.113Z","1","Federal Territory of Kuala Lumpur","3박 4일 예약 (프리미어 트윈룸 예약했지만 실제로 묵지 못함)

룸 : 금연방에도 담배 냄새 / 창틀에 담뱃재 / 큰 에어컨 소음(온도 조절 안됨) / 방음이 안 좋아 옆방 대화소리가 생생하게 들림
조식 : 많은 사람들이 집게를 안 쓰고 손으로 음식을 집어가지만 직원들 제지 없음 / 직원들도 손으로 음식 채워 넣음 / 뜬금없이 직원들끼리 일하는 모습 서로 찍어주는데 바쁨.
수영장 : 수영장 샤워기 수압 약함 / 수영장 화장실에서 직원들 담배 피우고 있음 (수영장 전체 금연임)

** 11층 룸에서 녹물 나옴.
오전 10시부터 고쳐달라 요청해도 데스크 직원들 별 신경 안 씀.
(수영장 가서 양치질 및 샤워하라고 함)
계속된 요청에 낮 12시에 수도 엔지니어 방으로 옴.
(조명 때문에 물이 노랗게 보이는 거라고 함)
여자 중년 매니저도 곧이어 방으로 옴.
- 녹물 해결 못할 것 같다고 방 변경 제안 (거절 후 환불 요구)
- 숙박하지 않은 1박의 숙박비 환불해 주겠다고 함.
( 아고다 통해 예약했으니 아고다로 환불 요청을 하라고 함)
- 다른 호텔로 교통수단 제공받음.
(어떤 일로 호텔 옮기는지 뻔히 알면서 다른 호텔 앞에서 v 포즈로 사진 찍으라는 운전사)

귀국 후 현재까지 아고다 통해 환불 요청했지만 수차례 거절됨. (아고다 고객센터 측에서는 호텔에서 거절한다고 알려줌)
호텔에 항의 메일 보내니 알아보고 답변 준다는 답장 받은 지 9일째 되는 날에도 여전히 연락 없음.

*** 시설이 낡은 건 이해하겠지만 게으르고 무책임한 호텔 직원들 때문에 절대 비추하는 호텔 ***","Royale Chulan Kuala Lumpur"
"Ishtiaq Islam","2025-09-07T04:36:36.010Z","1","Federal Territory of Kuala Lumpur","The rooms are not clean and the air conditioning doesn’t work. Do not spend your money here.","Royale Chulan Kuala Lumpur"
"Trip.com Member","2025-09-06T23:59:59.999Z",,"Federal Territory of Kuala Lumpur","Good👍🏻 , getting free upgrades 👍🏻 very nice","Royale Chulan Kuala Lumpur"
"Maulik Shah","2025-09-05T13:00:29.608Z","4","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"S TEKFA","2025-09-04T13:06:59.337Z","3","Federal Territory of Kuala Lumpur","Nous avons séjourné une après-midi au Chulan Royal Kuala Lumpur en attendant notre vol.

✅ Les points positifs :

L’hôtel est très spacieux, presque comme un palace.

Le staff est souriant, serviable et chaleureux.

À l’occasion de la fête de l’indépendance, on nous a offert un délicieux thé tarik, une belle attention.

Les chambres sont propres et le style général est élégant.

❌ À améliorer :

Je n’apprécie pas personnellement la moquette.

Certaines fournitures en bois et équipements de salle de bain mériteraient un rafraîchissement ou une rénovation.

Les portes ne se ferment pas automatiquement, il faut penser à vérifier derrière soi, et certaines semblent un peu datées.

👉 En résumé : un bel hôtel spacieux avec un service attentionné et une ambiance élégante, mais qui aurait besoin de quelques rénovations pour être parfait.","Royale Chulan Kuala Lumpur"
"Trip.com Member","2025-09-03T23:59:59.999Z",,"Federal Territory of Kuala Lumpur","Bilik bersih, makanan banyak pilihan terbaik","Royale Chulan Kuala Lumpur"
"Anthony Koh","2025-09-03T14:35:23.040Z","5","Federal Territory of Kuala Lumpur","Nice hotel","Royale Chulan Kuala Lumpur"
"Trip.com Member","2025-09-02T23:59:59.999Z",,"Federal Territory of Kuala Lumpur","不错的房间，很大，有一些陈旧，但是干净，维护的还行，也比较安静，服务人员态度很好，尽量满足我的要求。酒店位置优越，去柏威年步行5分钟。下次来吉隆坡，会继续入住。","Royale Chulan Kuala Lumpur"
"Trip.com Member","2025-09-01T23:59:59.999Z",,"Federal Territory of Kuala Lumpur","I just want to say a big thank you to the staff who helped me with my booking issue. They handled everything so professionally and even upgraded my room — that was such a nice surprise!I really appreciate their great service and how they still maintain the KEMELAYUAN in their hospitality. Truly amazing. Thank you again!The breakfast also good! But i prefer if u have more dessert like premium cake","Royale Chulan Kuala Lumpur"
"Sema Avcı","2025-08-31T08:48:09.298Z","3","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"ユタコちゃん","2025-08-31T05:41:51.136Z","3","Federal Territory of Kuala Lumpur","ツインルームに宿泊しました。ホテルは古いようで、客室のドアを最後まで引いて閉めないと開いたままでした。また、寝室とバスルームやトイレとの間に扉ありましたが、とても硬くて閉まりませんでした。朝食は開始時間でも、用意のできていないメニューも多く、のんびりした感じでした。フォーの食材のトマトにカビが生えてたのには驚きました。カレー、パンなどは美味しかったです。","Royale Chulan Kuala Lumpur"
"Taimoor Abbasi","2025-08-31T00:16:53.099Z","4","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"Trip.com Member","2025-08-29T23:59:59.999Z",,"Federal Territory of Kuala Lumpur","good value for money, can walk to KLCC and pavillion","Royale Chulan Kuala Lumpur"
"Mui Fong Lai","2025-08-08T03:08:51.393Z","4","Selangor","We came for a Summit as a group of 20+ the past week. The room is spacious and quite clean, except for signs of water leakage and mould, which most hotels have problems cleaning off for some reason, not that it's a difficult thing to do. The wifi is good and the pool perimeters can be cleaned up (mould again). Breakfast buffet was just OK tho' the spread is good enough. Minori Japanese restaurant was not bad as well Coffee Dream serves good coffee and snacks. It's not far from The Curve, just around the corner, so very suitable for shopping lovers.","Royale Chulan Damansara"
"Trip.com Member","2025-08-07T23:59:59.999Z",,"Selangor","Great location and no issue with cleanliness of the 3 rooms I booked for my family.Staff was accommodating to our requests for late check-out and purchase of additional bed in one of our rooms. However, there was poor communication among the staff either in reception and/or housekeeping.1. Late check-out till 2pm was granted to 1 room while the other 2 rooms till 1pm after we made a call to the hotel. When the access cards were sent for validation, was told all 3 rooms extended till 1pm only. Beyond that, subject to extra charges. Was told no record in the system that there is prior approval for the special extension for one of the room. Nonetheless, this exception was still granted but only after we made another call to the hotel.2. Payment for extra bed has to be made first before the bed can be set up. This was fine. Paid before we left the hotel for the day. However, after we returned to hotel at night expecting the extra bed ready for us, were disappointed to find no extra bed. Apparently it was sent to the wrong room despite having specified which room it was to be sent to. Payment for extra bed was to come with extra towel and toiletries for the third person but these were not provided despite the earlier assurances that it would.3. Low marks for amenities - old hotel and the rooms assigned to us really do need refurbishment! Pretty run down condition. Overall, still a pleasant stay due to its convenient location.","Royale Chulan Damansara"
"Bill chuah","2025-08-05T04:12:44.612Z","5","Selangor","房间非常好，地点很靠近mall","Royale Chulan Damansara"
"#iamkktan","2025-08-04T04:02:29.074Z","5","Selangor",,"Royale Chulan Damansara"
"Trip.com Member","2025-08-03T23:59:59.999Z",,"Selangor","We booked this hotel for our 3D2N KL trip with the kids. The location was strategic — we headed to Gamuda Fun Park around 5:30pm on Thursday and the traffic was smooth. It’s also just 5 minutes from IKEA and KidZania, which was super convenient for us.That said, the hotel room felt a bit dated, so don’t expect too much. But as long as it feels safe, I’m okay with it.","Royale Chulan Damansara"
"Adi Marzuki Abdul Razak","2025-08-03T16:24:31.344Z","5","Selangor","Hotel Berprestij","Royale Chulan Damansara"
"delayne cheng","2025-08-03T07:50:42.923Z","3","Selangor","3D2N stay for work.

Room is clean, just a bit old (but functioning).
Services are good.
Linked to MRT (Mutiara Damansara) - Kajang Line.

I do not recommend getting the breakfast buffet. Keep your money.
The food are cold, even at 7.00am (breakfast starts 630am). Some of the food tasted funky (like almost rotten), watermelon & braised peanuts. So, it's a big NO NO for me. Options / varieties are adequate.","Royale Chulan Damansara"
"Trip.com Member","2025-08-02T23:59:59.999Z",,"Selangor","Everything is good but the breakfast were quite bland the, the food is a little bit to cold, especially the ayam goreng for the nasi lemak, i hope they can maybe put in a heated container or etc, and the place they put the nasi lemak is far away from others that i need to look around to find it.","Royale Chulan Damansara"
"Trip.com Member","2025-08-01T23:59:59.999Z",,"Selangor","The room looked nice and tidy at first glance, but the hygiene really needs improvement. The bedsheets, comforter, pillows, and towel all had a strange smell — like they weren’t properly cleaned or maybe not even changed??. I could still catch the scent of previous guests, which was honestly pretty gross.","Royale Chulan Damansara"
"Trip.com Member","2025-07-31T23:59:59.999Z",,"Selangor","Royale Chulan Damansara offers a strategic location near malls and MRT, clean and spacious rooms, and beautiful city views—ideal for business or leisure stays.","Royale Chulan Damansara"
"Trip.com Member","2025-07-30T23:59:59.999Z",,"Selangor","环境不错，住的舒适。","Royale Chulan Damansara"
"Trip.com Member","2025-07-29T23:59:59.999Z",,"Selangor","I have reside tjis hotel many times. It's price is always fair. I most like it's swimming pool.","Royale Chulan Damansara"
"Trip.com Member","2025-07-29T23:59:59.999Z",,"Selangor","memuaskan","Royale Chulan Damansara"
"Trip.com Member","2025-07-28T23:59:59.999Z",,"Selangor","Highly recommended hotel. Please take note there are two Royale Chulan hotel. One is The Curve and the one we stayed was Damansara. Very near to each other. We chose Damansara as we felt it was worth the money and it was only about 4 mins walk to the curve. In fact we were very impressed with such beautiful hotel at reasonable price. The receptionists were all polite. Parking is convenient and it was RM4 per each entry.","Royale Chulan Damansara"
"Trip.com Member","2025-07-28T23:59:59.999Z",,"Selangor","Nice foodFriendly staffBig roomLime palace","Royale Chulan Damansara"
"Ts. Dr. Yuseni bin Ab Wahab","2025-07-28T09:09:57.062Z","5","Selangor",,"Royale Chulan Damansara"
"Trip.com Member","2025-07-27T23:59:59.999Z",,"Selangor","Despite having rooms available, reception insists on 3pm check in. A lot has been said about such silly policy as whether you get in at 12 or at 3. The hotel still has to provide due service per stay. You don’t get a discount when you check out early do you?Room was missing hand and face towel. Didn’t think much of it till I clarified upon check out. While I could have called down, it is basic checklist that all amenities including towels and more are provided. Why does a guest need to call down for service that is due? You won’t expect to go and collect your food for in room dining would you? Cleanliness is decent. Though the facility does need some refurbishment as things are starting to rot and peel. There is also a lingering stagnant smell in the air. Hotel is located walking distance to the mall and IKEA. An MRT station is also not a far walk away.","Royale Chulan Damansara"
"Trip.com Member","2025-07-27T23:59:59.999Z",,"Selangor","Rooms are big but very old school. Clean but the rooms have visible marks of wear and tear. Gym and pool open and close at 7pm - 8pm. Unlike the hotels nowadays, that operates 24 hour amenities.TV uses antenna and you will get a blurry/static picture like in the olden days.","Royale Chulan Damansara"
"Trip.com Member","2025-07-27T23:59:59.999Z",,"Selangor","Bilik cantik kemas dan bersih🥰❤️ boleh repeat lagi ! Tq royale chulan","Royale Chulan Damansara"
"Trip.com Member","2025-07-27T23:59:59.999Z",,"Selangor","Very nice hotel to stay when you at Damansara area","Royale Chulan Damansara"
"NuralyaMaisara Mohdnaser","2025-11-10T09:00:50.243Z","5","Negeri Sembilan",,"Royale Chulan Seremban"
"Trip.com Member","2025-11-09T23:59:59.999Z",,"Negeri Sembilan","The hotel is always my first choice whenever I stay in, Seremban. The service is excellent and the location is great. Good variety of foods for breakfast.","Royale Chulan Seremban"
"Trip.com Member","2025-11-08T23:59:59.999Z",,"Negeri Sembilan","Good hotel, clean room, variety of foods in breakfast & excellent staffs. Check in also very fast.Pool quite big & clean","Royale Chulan Seremban"
"Trip.com Member","2025-11-07T23:59:59.999Z",,"Negeri Sembilan","Value for money hotel. Big ballroom to host events for 500 pax upwards. Breakfast spread was good . Overall the stay was good. Hotel controls bottle water and toiletries. No hand towels given in the hotel and had to go Parkson to buy a set. Carpark was easy to validate car plate number.I did not like the roads outside as it is quite hard to drive to the hotel.","Royale Chulan Seremban"
"Trip.com Member","2025-11-07T23:59:59.999Z",,"Negeri Sembilan","Excellent service and rooms","Royale Chulan Seremban"
"Trip.com Member","2025-11-06T23:59:59.999Z",,"Negeri Sembilan","first time at Seremban and was told that this is the better hotel in the area with many rooms while the others are all smalller hotels.stayed one night, so nothing to complain","Royale Chulan Seremban"
"Zulkifli Ali","2025-11-06T11:12:36.924Z","1","Negeri Sembilan","Need to pay for free parking.","Royale Chulan Seremban"
"Rosmada Tahir","2025-11-05T06:20:54.557Z","3","Negeri Sembilan","Stayed 4/11/25 . Book 1 nite , 2 rms . 4 adults, 1 toddler, 1 baby.  Rooms spacious,  clean , comfortable. However , breakfast menu for child not much choice.  Restaurant staffs very cold, not welcoming , saw only one staff smiling. Thank you","Royale Chulan Seremban"
"Trip.com Member","2025-11-04T23:59:59.999Z",,"Negeri Sembilan","Nice hotel to stay when come to Seremban","Royale Chulan Seremban"
"Aqilah Amalek","2025-11-04T23:32:54.998Z","5","Negeri Sembilan","Comfortable stay! Room is clean and neat with bathtub. Good amenities. Breakfast choice more on local choice. Will book again.","Royale Chulan Seremban"
"Isfahmi","2025-11-04T10:33:00.948Z","5","Negeri Sembilan","Sarapan pagi Royal Chulan memang terbaik. Pelbagai pilihan.","Royale Chulan Seremban"
"Dhiya Nadzari","2025-11-04T09:13:31.985Z","5","Negeri Sembilan",,"Royale Chulan Seremban"
"Van Nguyen","2025-11-04T08:40:24.408Z","5","Negeri Sembilan","Its happened my day trip to Melaka town, for special celebration Diwali
But, I hope there should be had background music at lobby,  more pleasure","Royale Chulan Seremban"
"Trip.com Member","2025-11-03T23:59:59.999Z",,"Negeri Sembilan","Spacious rooms with good breakfast.","Royale Chulan Seremban"
"celestina sebastian","2025-11-03T16:44:45.667Z","5","Negeri Sembilan","Was there for a few days for a seminar. The food was good. Had a variety for breakfast and dinner. The rooms were spacious and had hot water. Had a tub as well. The parking space was great. Spacious and easy access.","Royale Chulan Seremban"
"SARAVANAN SURIANARAYANAN","2025-11-03T12:00:40.906Z","5","Negeri Sembilan",,"Royale Chulan Seremban"
"yasin kaffi","2025-11-03T06:53:57.767Z","4","Negeri Sembilan","A classic old hotel and seems popular with the local tourists esp family with kids as there's a swimming pool suited for them. The room is a bit jaded but clean. Breakfast spread quite ok and place is spacious.","Royale Chulan Seremban"
"Hafilah Musa","2025-11-02T11:43:58.483Z","5","Negeri Sembilan","Comfortable stay. Adequate meeting room. Good food. Nice swimming pool for kids.","Royale Chulan Seremban"
"Trip.com Member","2025-11-01T23:59:59.999Z",,"Negeri Sembilan","Best hotel for rest n staycation","Royale Chulan Seremban"
"jan_ dk","2025-11-01T09:28:18.277Z","5","Negeri Sembilan",,"Royale Chulan Seremban"
"Trip.com Member","2025-07-26T23:59:59.999Z",,"Selangor","The price was quite reasonable for the room and location. However, this is marketed as a 5 star hotel, and it definitely is not up to par for a 5 star hotel in KL--I would consider it more like a 3.5 star hotel level. When checking in, they tried to double-charge me the tourist tax, and I had to prove to them that it was already collected by the booking site. Then, I got to my room and found that the soap and shampoo were totally empty, and the safe was not working (replace battery error), and there was some rubbish still in the room. I called and waited for them to come address these issues, and saw that the ""premium herbal"" soap and shampoo in the shower was refilled by a worker carrying used water bottles filled with generic soap and shampoo. Again, I don't really mind too much except that it felt like the 5 star label was very fake, and this was a 3.5 star hotel trying to hope nobody notices these things. But, the price indeed was a 3 or 4 star price, so I don't feel ripped off--just misled. Rooftop infinity pool had a nice view, and fitness centre was outdated with some broken equipment--but sufficed. I would stay again for a business trip in the area, but would set my expectations accordingly.","Royale Chulan Damansara"
"Trip.com Member","2025-07-26T23:59:59.999Z",,"Selangor","Make sure FO not making noise at back. Annoying. TQ","Royale Chulan Damansara"
"Trip.com Member","2025-07-25T23:59:59.999Z",,"Selangor","Overall is okay. Breakfast just average, not very fresh and tasty. Not hot too. Bed is okay.","Royale Chulan Damansara"
"Trip.com Member","2025-07-25T23:59:59.999Z",,"Selangor","Lovessss. Will come again","Royale Chulan Damansara"
"By'Once Umbu Dondu Rawambaku","2025-07-25T15:24:43.327Z","5","Selangor","Sangat nyaman","Royale Chulan Damansara"
"STEK TAN","2025-07-24T23:58:55.011Z","3","Selangor","Around the world, there are many old 5 star hotels that, despite it's age, retains it's beauty, charm, cleanliness and service excellence. This hotel is NOT one of them. First time staying here and the moment I stepped into the cold and uninviting lobby, I knew I was going to be disappointed. Waited a while for the receptionist to sort out my booking even though I had pre ordered and pre paid. No welcome drink for a 5 stars and I waited with flies buzzing around you in the lobby.

The lifts, the walkways were old, dirty and dusty and you can see many cracks along the wall panelling. The room, while neat, was extremely dusty and dirty, due to overusage and time. The carpet, especially at the edge of the room, was thick with dust and the toilet looks like a public toilet. Bed was really old with no top layer and not really comfortable.

Breakfast was decent though with good selection. In the evening, I went to the smoking bar and it was empty with no staff to service. Overall while the hotel is huge, the deco is cold and uninviting. They desperately need a renovation and frankly they should be downgraded to a 4 or 3 stars. Thankfully, their prices already reflect that.","Royale Chulan Damansara"
"Trip.com Member","2025-07-23T23:59:59.999Z",,"Selangor","Everything was okay except the bed was uncomfortable, the TV was not working, and the hair dryer was broken. Breakfast was okay.","Royale Chulan Damansara"
"Trip.com Member","2025-07-20T23:59:59.999Z",,"Selangor","Second time revisit. Still feel good and comfort stay experience. Room is clean and spacious. Thanks to the house keeping team that keeping my room clean during my 3 nights stay.","Royale Chulan Damansara"
"Trip.com Member","2025-07-20T23:59:59.999Z",,"Selangor","設備は古いが、部屋も広く、コストもよく、満足。次回も利用したい","Royale Chulan Damansara"
"Trip.com Member","2025-07-20T23:59:59.999Z",,"Selangor","ショッピングセンターに近く、非常に便利。どこに向かうにも、ロケーション的にも便利","Royale Chulan Damansara"
"Trip.com Member","2025-07-20T23:59:59.999Z",,"Selangor","i have event at IPC shopping mall, it just 400 walk distance...","Royale Chulan Damansara"
"Trip.com Member","2025-07-20T23:59:59.999Z",,"Selangor","Very good experience, will stay again","Royale Chulan Damansara"
"Mohd Husyaini Mohd Rashid","2025-07-20T09:36:04.941Z","2","Selangor",,"Royale Chulan Damansara"
"syed hasrul","2025-07-20T02:38:10.993Z","5","Selangor",,"Royale Chulan Damansara"
"Trip.com Member","2025-07-18T23:59:59.999Z",,"Selangor","Overall, the hotel is clean. However, the carpet in the room is quite old and smelled musky. The sink in the bathroom was not draining out and the water was accumulating in the sink.Bed was clean and comfortable.","Royale Chulan Damansara"
"Fauzi Hjwahid","2025-07-18T04:23:30.544Z","4","Selangor",,"Royale Chulan Damansara"
